r,dp
1.000000000000000056e-01,-1.181690516612560748e-01
2.000000000000000111e-01,-6.278988794762019321e-03
2.999999999999999889e-01,5.917250218546968310e-02
4.000000000000000222e-01,1.056110740717320362e-01
5.000000000000000000e-01,1.416316288471696772e-01
5.999999999999999778e-01,1.710625650519637664e-01
6.999999999999999556e-01,1.959460670563307472e-01
8.000000000000000444e-01,2.175011369382260917e-01
9.000000000000000222e-01,2.365140560321955243e-01
1.000000000000000000e+00,2.535216917136637327e-01
1.100000000000000089e+00,2.689069696304084434e-01
1.199999999999999956e+00,2.829526279184578219e-01
1.300000000000000044e+00,2.958733810352222604e-01
1.399999999999999911e+00,3.078361299228248305e-01
1.500000000000000000e+00,3.189731826938954629e-01
1.600000000000000089e+00,3.293911998047202028e-01
1.699999999999999956e+00,3.391774226107028278e-01
1.800000000000000044e+00,3.484041188986896076e-01
1.899999999999999911e+00,3.571318248702564646e-01
2.000000000000000000e+00,3.654117545801577882e-01
2.100000000000000089e+00,3.732876209030565606e-01
2.200000000000000178e+00,3.807970324969024989e-01
2.299999999999999822e+00,3.879725799824439436e-01
2.399999999999999911e+00,3.948426907849519329e-01
2.500000000000000000e+00,4.014323093555954847e-01
2.600000000000000089e+00,4.077634439017163714e-01
2.700000000000000178e+00,4.138556098789213378e-01
2.799999999999999822e+00,4.197261927893188860e-01
2.899999999999999911e+00,4.253907472878013518e-01
3.000000000000000000e+00,4.308632455603895739e-01
3.100000000000000089e+00,4.361562849608843218e-01
3.200000000000000178e+00,4.412812626712142583e-01
3.299999999999999822e+00,4.462485234771342291e-01
3.399999999999999911e+00,4.510674854771968834e-01
3.500000000000000000e+00,4.557467475647565269e-01
3.600000000000000089e+00,4.602941817651836631e-01
3.700000000000000178e+00,4.647170129190362209e-01
3.799999999999999822e+00,4.690218877367505756e-01
3.899999999999999911e+00,4.732149348819481016e-01
4.000000000000000000e+00,4.773018174466518992e-01
4.099999999999999645e+00,4.812877789459725775e-01
4.200000000000000178e+00,4.851776837695506717e-01
4.299999999999999822e+00,4.889760528726026512e-01
4.400000000000000355e+00,4.926870953633966099e-01
4.500000000000000000e+00,4.963147365406213041e-01
4.599999999999999645e+00,4.998626428489379991e-01
4.700000000000000178e+00,5.033342441504817799e-01
4.799999999999999822e+00,5.067327536514459885e-01
4.900000000000000355e+00,5.100611857739176802e-01
5.000000000000000000e+00,5.133223722220894292e-01
5.099999999999999645e+00,5.165189764574287246e-01
5.200000000000000178e+00,5.196535067682104270e-01
5.299999999999999822e+00,5.227283280940975274e-01
5.400000000000000355e+00,5.257456727454155043e-01
5.500000000000000000e+00,5.287076501388341399e-01
5.599999999999999645e+00,5.316162556558130525e-01
5.700000000000000178e+00,5.344733787169824168e-01
5.799999999999999822e+00,5.372808101542954073e-01
5.900000000000000355e+00,5.400402489529847472e-01
6.000000000000000000e+00,5.427533084268836294e-01
