r,dp
1.000000000000000056e-01,-4.590369505279801032e-01
2.000000000000000111e-01,-1.231012536837017279e-02
2.999999999999999889e-01,2.490083154162180401e-01
4.000000000000000222e-01,4.344166997912400907e-01
5.000000000000000000e-01,5.782306155499532530e-01
5.999999999999999778e-01,6.957351405758283036e-01
6.999999999999999556e-01,7.950838008990180894e-01
8.000000000000000444e-01,8.811435249508503542e-01
9.000000000000000222e-01,9.570535813604166275e-01
1.000000000000000000e+00,1.024957440709563405e+00
1.100000000000000089e+00,1.086383953322630935e+00
1.199999999999999956e+00,1.142461965735438456e+00
1.300000000000000044e+00,1.194048736451712500e+00
1.399999999999999911e+00,1.241810626058628353e+00
1.500000000000000000e+00,1.286275881494151729e+00
1.600000000000000089e+00,1.327870350110460507e+00
1.699999999999999956e+00,1.366942347501663546e+00
1.800000000000000044e+00,1.403780406520026780e+00
1.899999999999999911e+00,1.438626221060830046e+00
2.000000000000000000e+00,1.471684265869173558e+00
2.100000000000000089e+00,1.503129066843216677e+00
2.200000000000000178e+00,1.533110778482241088e+00
2.299999999999999822e+00,1.561759520514165001e+00
2.399999999999999911e+00,1.589188790895048609e+00
2.500000000000000000e+00,1.615498181627886609e+00
2.600000000000000089e+00,1.640775561611322875e+00
2.700000000000000178e+00,1.665098847304615326e+00
2.799999999999999822e+00,1.688537451218238505e+00
2.899999999999999911e+00,1.711153476111083815e+00
3.000000000000000000e+00,1.733002706653762104e+00
3.100000000000000089e+00,1.754135438428603422e+00
3.200000000000000178e+00,1.774597175270070659e+00
3.299999999999999822e+00,1.794429219266829412e+00
3.399999999999999911e+00,1.813669172661273699e+00
3.500000000000000000e+00,1.832351366976951557e+00
3.600000000000000089e+00,1.850507231679637155e+00
3.700000000000000178e+00,1.868165612316486701e+00
3.799999999999999822e+00,1.885353046220440199e+00
3.899999999999999911e+00,1.902094002395910977e+00
4.000000000000000000e+00,1.918411091028783932e+00
4.099999999999999645e+00,1.934325247122561375e+00
4.200000000000000178e+00,1.949855892002827051e+00
4.299999999999999822e+00,1.965021075815578833e+00
4.400000000000000355e+00,1.979837603641851462e+00
4.500000000000000000e+00,1.994321147438350206e+00
4.599999999999999645e+00,2.008486345673775375e+00
4.700000000000000178e+00,2.022346892248935823e+00
4.799999999999999822e+00,2.035915616054658983e+00
4.900000000000000355e+00,2.049204552326016504e+00
5.000000000000000000e+00,2.062225006787496984e+00
5.099999999999999645e+00,2.074987613445862245e+00
5.200000000000000178e+00,2.087502386770933249e+00
5.299999999999999822e+00,2.099778768905828930e+00
5.400000000000000355e+00,2.111825672464225256e+00
5.500000000000000000e+00,2.123651519400564514e+00
5.599999999999999645e+00,2.135264276377848880e+00
5.700000000000000178e+00,2.146671487005028744e+00
5.799999999999999822e+00,2.157880301270694190e+00
5.900000000000000355e+00,2.168897502460683135e+00
