r,dp
1.000000000000000056e-01,-4.660427067602561646e-01
2.000000000000000111e-01,-2.407496020146782101e-02
2.999999999999999889e-01,2.344595980636551280e-01
4.000000000000000222e-01,4.178927863573206336e-01
5.000000000000000000e-01,5.601746210086520072e-01
5.999999999999999778e-01,6.764273446224435826e-01
6.999999999999999556e-01,7.747176219322661206e-01
8.000000000000000444e-01,8.598605329161090882e-01
9.000000000000000222e-01,9.349619028875666427e-01
1.000000000000000000e+00,1.002142367567440351e+00
1.100000000000000089e+00,1.062914490103092024e+00
1.199999999999999956e+00,1.118395091181231926e+00
1.300000000000000044e+00,1.169432296743200483e+00
1.399999999999999911e+00,1.216685368491054575e+00
1.500000000000000000e+00,1.260676925832563411e+00
1.600000000000000089e+00,1.301828279474897432e+00
1.699999999999999956e+00,1.340484034329938900e+00
1.800000000000000044e+00,1.376929649446354986e+00
1.899999999999999911e+00,1.411404243901482669e+00
2.000000000000000000e+00,1.444110114126228694e+00
2.100000000000000089e+00,1.475219926756177635e+00
2.200000000000000178e+00,1.504882236661880368e+00
2.299999999999999822e+00,1.533225777377326793e+00
2.399999999999999911e+00,1.560362837740020492e+00
2.500000000000000000e+00,1.586391948777560179e+00
2.600000000000000089e+00,1.611400043301988827e+00
2.700000000000000178e+00,1.635464207711478046e+00
2.799999999999999822e+00,1.658653115049842919e+00
2.899999999999999911e+00,1.681028206481697262e+00
3.000000000000000000e+00,1.702644672391351754e+00
3.100000000000000089e+00,1.723552272551295061e+00
3.200000000000000178e+00,1.743796026033685775e+00
3.299999999999999822e+00,1.763416794927003428e+00
3.399999999999999911e+00,1.782451780888727466e+00
3.500000000000000000e+00,1.800934949701174403e+00
3.600000000000000089e+00,1.818897396005143552e+00
3.700000000000000178e+00,1.836367658049866680e+00
3.799999999999999822e+00,1.853371990460271013e+00
3.899999999999999911e+00,1.869934601567111887e+00
4.000000000000000000e+00,1.886077860685017260e+00
4.099999999999999645e+00,1.901822479792317777e+00
4.200000000000000178e+00,1.917187673314966201e+00
4.299999999999999822e+00,1.932191299106806870e+00
4.400000000000000355e+00,1.946849983220668712e+00
4.500000000000000000e+00,1.961179230656474815e+00
4.599999999999999645e+00,1.975193523936115136e+00
4.700000000000000178e+00,1.988906411076277525e+00
4.799999999999999822e+00,2.002330584298809057e+00
4.900000000000000355e+00,2.015477950624788406e+00
5.000000000000000000e+00,2.028359695336348523e+00
5.099999999999999645e+00,2.040986339153850082e+00
5.200000000000000178e+00,2.053367789860777393e+00
5.299999999999999822e+00,2.065513389011031542e+00
5.400000000000000355e+00,2.077431954270266612e+00
5.500000000000000000e+00,2.089131817872000418e+00
5.599999999999999645e+00,2.100620861608631262e+00
5.700000000000000178e+00,2.111906548725394295e+00
5.799999999999999822e+00,2.122995953040485606e+00
5.900000000000000355e+00,2.133895785575916193e+00
