r,dp
1.000000000000000000e+00,2.500000000000000000e-01
2.000000000000000000e+00,3.633801374213398439e-01
3.000000000000000000e+00,4.302808245280396737e-01
4.000000000000000000e+00,4.769918431749725629e-01
5.000000000000000000e+00,5.128978185487282904e-01
6.000000000000000000e+00,5.421059583882608113e-01
7.000000000000000000e+00,5.667426101461123800e-01
8.000000000000000000e+00,5.880515792058609303e-01
9.000000000000000000e+00,6.068254404188476725e-01
1.000000000000000000e+01,6.236011572578383788e-01
1.100000000000000000e+01,6.387595254746000206e-01
1.200000000000000000e+01,6.525803125283031747e-01
1.300000000000000000e+01,6.652749334548329063e-01
1.400000000000000000e+01,6.770068532053752364e-01
1.500000000000000000e+01,6.879048750111346200e-01
1.600000000000000000e+01,6.980721033972737688e-01
1.700000000000000000e+01,7.075921710561424716e-01
1.800000000000000000e+01,7.165336759726836924e-01
1.900000000000000000e+01,7.249534137579760618e-01
2.000000000000000000e+01,7.328987785016479739e-01
2.100000000000000000e+01,7.404095771163973216e-01
2.200000000000000000e+01,7.475194219204051027e-01
2.300000000000000000e+01,7.542568146869305101e-01
2.400000000000000000e+01,7.606460015110803052e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.414213562373095145e+00,3.183099312893299948e-01
2.236067977499789805e+00,3.866198625786598231e-01
3.162277660168379523e+00,4.403756587579232273e-01
4.123105625617660586e+00,4.823943648115611160e-01
5.099019513592784492e+00,5.162467363158398381e-01
6.082762530298219339e+00,5.443917024291011764e-01
7.071067811865475505e+00,5.684064514951641112e-01
8.062257748298549132e+00,5.893191331292417789e-01
9.055385138137417300e+00,6.078245126058455794e-01
1.004987562112088995e+01,6.244098315689530221e-01
1.104536101718726115e+01,6.394283160561292645e-01
1.204159457879229578e+01,6.531433955918899414e-01
1.303840481040529831e+01,6.657562840428266071e-01
1.403566884761819900e+01,6.774238021777667651e-01
1.503329637837290811e+01,6.882702717209447929e-01
1.603121954188139853e+01,6.983956837609088808e-01
1.702938636592640265e+01,7.078814524273061570e-01
1.802775637731994607e+01,7.167945595383081736e-01
1.902629759044044633e+01,7.251906002787862349e-01
2.002498439450078749e+01,7.331160615661092006e-01
2.102379604162863913e+01,7.406100540217681605e-01
2.202271554554523902e+01,7.477056479391461785e-01
