r,dp
2.236067977499789805e+00,1.540831973305785141e+00
3.162277660168379523e+00,1.762534415508014263e+00
4.123105625617660586e+00,1.929663948860479650e+00
5.099019513592784492e+00,2.066096220984945830e+00
6.082762530298219339e+00,2.178652845487647483e+00
7.071067811865475505e+00,2.270744629171701945e+00
8.062257748298549132e+00,2.352603992446347547e+00
9.055385138137417300e+00,2.424230935311754820e+00
2.236067977499789805e+00,1.540831973305785141e+00
2.828427124746190291e+00,1.694318279445781172e+00
3.605551275463989125e+00,1.847804585585777204e+00
4.472135954999579610e+00,1.984236857710300228e+00
5.385164807134503739e+00,2.100204289016119219e+00
6.324555320336759046e+00,2.202528493109412011e+00
7.280109889280518054e+00,2.291209469990349135e+00
8.246211251235321171e+00,2.369658026461877398e+00
9.219544457292887074e+00,2.437874162524110488e+00
3.162277660168379523e+00,1.762534415508014263e+00
3.605551275463989125e+00,1.847804585585777204e+00
4.242640687119284770e+00,1.953539596482301022e+00
5.000000000000000000e+00,2.055863800575650657e+00
5.830951894845300743e+00,2.154777197865826111e+00
6.708203932499369415e+00,2.243458174746763234e+00
7.615773105863908654e+00,2.321906731218405184e+00
8.544003745317530374e+00,2.393533674083698770e+00
9.486832980505138124e+00,2.458339003342814522e+00
4.123105625617660586e+00,1.929663948860479650e+00
4.472135954999579610e+00,1.984236857710300228e+00
5.000000000000000000e+00,2.055863800575650657e+00
5.656854249492380582e+00,2.134312357047178921e+00
6.403124237432848531e+00,2.216171720321881367e+00
7.211102550927978250e+00,2.291209469990349135e+00
8.062257748298549132e+00,2.362836412855699564e+00
8.944271909999159220e+00,2.427641742114815315e+00
9.848857801796103928e+00,2.489036264570813728e+00
5.099019513592784492e+00,2.066096220984945830e+00
5.385164807134503739e+00,2.103615095819179714e+00
5.830951894845300743e+00,2.154777197865826111e+00
6.403124237432848531e+00,2.216171720321881367e+00
7.071067811865475505e+00,2.277566242777936623e+00
7.810249675906653977e+00,2.342371572037052374e+00
8.602325267042626677e+00,2.407176901296168126e+00
9.433981132056603158e+00,2.465160616949049199e+00
1.029563014098700080e+01,2.519733525798869778e+00
6.082762530298219339e+00,2.178652845487647483e+00
6.324555320336759046e+00,2.202528493109412011e+00
6.708203932499369415e+00,2.243458174746763234e+00
7.211102550927978250e+00,2.291209469990349135e+00
7.810249675906653977e+00,2.342371572037052374e+00
8.485281374238569541e+00,2.396944480886816109e+00
9.219544457292887074e+00,2.451517389736636687e+00
1.000000000000000000e+01,2.506090298586400422e+00
1.081665382639196871e+01,2.557252400633046818e+00
7.071067811865475505e+00,2.274155435974762440e+00
7.280109889280518054e+00,2.291209469990349135e+00
7.615773105863908654e+00,2.321906731218405184e+00
8.062257748298549132e+00,2.362836412855699564e+00
8.602325267042626677e+00,2.407176901296168126e+00
9.219544457292887074e+00,2.451517389736636687e+00
9.899494936611665352e+00,2.502679491783283083e+00
1.063014581273464998e+01,2.550430787026812141e+00
1.140175425099137918e+01,2.598182082270398041e+00
8.062257748298549132e+00,2.356014799249464886e+00
8.246211251235321171e+00,2.369658026461877398e+00
8.544003745317530374e+00,2.396944480886816109e+00
8.944271909999159220e+00,2.427641742114815315e+00
9.433981132056603158e+00,2.465160616949049199e+00
1.000000000000000000e+01,2.506090298586400422e+00
1.063014581273464998e+01,2.550430787026812141e+00
1.131370849898476116e+01,2.594771275467280702e+00
1.204159457879229578e+01,2.639111763907749264e+00
9.055385138137417300e+00,2.424230935311754820e+00
9.219544457292887074e+00,2.437874162524110488e+00
9.486832980505138124e+00,2.461749810145931860e+00
9.848857801796103928e+00,2.489036264570813728e+00
1.029563014098700080e+01,2.519733525798869778e+00
1.081665382639196871e+01,2.557252400633046818e+00
1.140175425099137918e+01,2.598182082270398041e+00
1.204159457879229578e+01,2.639111763907749264e+00
1.272792206135785520e+01,2.680041445545043644e+00
