r,dp
2.236067977499789805e+00,1.521801496126285791e+00
3.162277660168379523e+00,1.738417333926935537e+00
4.123105625617660586e+00,1.905533906213561668e+00
5.099019513592784492e+00,2.039480245907653089e+00
6.082762530298219339e+00,2.150645670531489362e+00
7.071067811865475505e+00,2.245444441034797123e+00
8.062257748298549132e+00,2.327985044752265864e+00
9.055385138137417300e+00,2.401022560879108703e+00
1.004987562112088995e+01,2.466483072017042311e+00
1.104536101718726115e+01,2.525761018311383665e+00
1.204159457879229578e+01,2.579895843135380673e+00
1.303840481040529831e+01,2.629681377664389696e+00
1.403566884761819900e+01,2.675736137604086462e+00
1.503329637837290811e+01,2.718550631080828062e+00
1.603121954188139853e+01,2.758519488441732115e+00
1.702938636592640265e+01,2.795964007687654629e+00
1.802775637731994607e+01,2.831147844184473961e+00
1.902629759044044633e+01,2.864291336051671522e+00
2.002498439450078749e+01,2.895576961453214970e+00
2.102379604162863913e+01,2.925159912098644455e+00
2.202271554554523902e+01,2.953169798646478661e+00
2.302172886644267535e+01,2.979718154479179759e+00
2.402082429892862692e+01,3.004899117864512803e+00
2.236067977499789805e+00,1.521801496126285791e+00
2.828427124746190291e+00,1.673004846948789925e+00
3.605551275463989125e+00,1.824208197771293616e+00
4.472135954999579610e+00,1.958533205236666408e+00
5.385164807134503739e+00,2.074844138895608925e+00
6.324555320336759046e+00,2.175739010290050679e+00
7.280109889280518054e+00,2.264117857904337949e+00
8.246211251235321171e+00,2.342405526619006029e+00
9.219544457292887074e+00,2.412491125890027455e+00
1.019803902718556898e+01,2.475824316824860816e+00
1.118033988749894903e+01,2.533521695246639727e+00
1.216552506059643868e+01,2.586452266512662135e+00
1.315294643796590535e+01,2.635301022953196792e+00
1.414213562373095101e+01,2.680613932413216549e+00
1.513274595042155646e+01,2.722832557941454290e+00
1.612451549659709826e+01,2.762316739655636955e+00
1.711724276862369010e+01,2.799362194505594204e+00
1.811077027627483460e+01,2.834215864903873783e+00
1.910497317454279909e+01,2.867082399258658931e+00
2.009975124224177989e+01,2.898135748716909266e+00
2.109502310972898798e+01,2.927522236890480301e+00
2.209072203437452231e+01,2.955365676066321612e+00
2.308679276123039159e+01,2.981771801255333809e+00
2.408318915758459156e+01,3.006831680999156209e+00
3.162277660168379523e+00,1.738417333926935537e+00
3.605551275463989125e+00,1.824208197771293616e+00
4.242640687119284770e+00,1.926877404972781704e+00
5.000000000000000000e+00,2.029546612174270681e+00
5.830951894845300743e+00,2.125624025931929673e+00
6.708203932499369415e+00,2.213348373828766924e+00
7.615773105863908654e+00,2.292882487781564560e+00
8.544003745317530374e+00,2.365028077929393291e+00
9.486832980505138124e+00,2.430712099237135160e+00
1.044030650891055068e+01,2.490801408253800808e+00
1.140175425099137918e+01,2.546049145229585253e+00
